Date : 2024-12-29 15:16:11
Directory : c:\Users\darli\RiderProjects\kir1l9x
Total : 311 files,  9218 codes, 9 comments, 2274 blanks, all 11501 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C#       |        288 |      8,781 |          0 |      2,164 |     10,945 |
| XML      |         19 |        301 |          2 |         81 |        384 |
| YAML     |          3 |         72 |          0 |         15 |         87 |
| MS SQL   |          1 |         64 |          7 |         14 |         85 |
+----------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                         | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| src\Lab2 (Files)                                                                                                                                             |          3 |         54 |          0 |         21 |         75 |
| src\Lab2\EducationPrograms                                                                                                                                   |         14 |        313 |          0 |         95 |        408 |
| src\Lab2\EducationPrograms (Files)                                                                                                                           |          2 |         44 |          0 |         14 |         58 |
| src\Lab2\EducationPrograms\Factories                                                                                                                         |          6 |        159 |          0 |         42 |        201 |
| src\Lab2\EducationPrograms\Factories (Files)                                                                                                                 |          1 |          6 |          0 |          3 |          9 |
| src\Lab2\EducationPrograms\Factories\SpecificFactories                                                                                                       |          5 |        153 |          0 |         39 |        192 |
| src\Lab2\EducationPrograms\SpecificEducationPrograms                                                                                                         |          6 |        110 |          0 |         39 |        149 |
| src\Lab2\EducationPrograms\SpecificEducationPrograms\AdditionalEducationPrograms                                                                             |          3 |         56 |          0 |         18 |         74 |
| src\Lab2\EducationPrograms\SpecificEducationPrograms\UniversityPrograms                                                                                      |          3 |         54 |          0 |         21 |         75 |
| src\Lab2\Ensures                                                                                                                                             |          1 |         18 |          0 |          2 |         20 |
| src\Lab2\Materials                                                                                                                                           |          4 |        278 |          0 |         85 |        363 |
| src\Lab2\Materials\LabWorks                                                                                                                                  |          2 |        144 |          0 |         44 |        188 |
| src\Lab2\Materials\Lectures                                                                                                                                  |          2 |        134 |          0 |         41 |        175 |
| src\Lab2\Repositories                                                                                                                                        |          7 |         96 |          0 |         20 |        116 |
| src\Lab2\Repositories (Files)                                                                                                                                |          2 |         16 |          0 |          5 |         21 |
| src\Lab2\Repositories\SpecificRepositories                                                                                                                   |          5 |         80 |          0 |         15 |         95 |
| src\Lab2\Services                                                                                                                                            |          6 |        300 |          0 |         79 |        379 |
| src\Lab2\Subjects                                                                                                                                            |          6 |        283 |          0 |         88 |        371 |
| src\Lab2\Subjects (Files)                                                                                                                                    |          4 |        228 |          0 |         73 |        301 |
| src\Lab2\Subjects\Builders                                                                                                                                   |          2 |         55 |          0 |         15 |         70 |
| src\Lab2\Terms                                                                                                                                               |          2 |         39 |          0 |         12 |         51 |
| src\Lab2\Users                                                                                                                                               |          3 |         40 |          0 |         12 |         52 |
| src\Lab3                                                                                                                                                     |         33 |        560 |          0 |        150 |        710 |
| src\Lab3 (Files)                                                                                                                                             |          1 |          9 |          0 |          4 |         13 |
| src\Lab3\Displays                                                                                                                                            |          5 |         56 |          0 |         13 |         69 |
| src\Lab3\Displays (Files)                                                                                                                                    |          2 |         15 |          0 |          3 |         18 |
| src\Lab3\Displays\Drivers                                                                                                                                    |          3 |         41 |          0 |         10 |         51 |
| src\Lab3\Loggers                                                                                                                                             |          5 |        103 |          0 |         27 |        130 |
| src\Lab3\Loggers (Files)                                                                                                                                     |          2 |         69 |          0 |         18 |         87 |
| src\Lab3\Loggers\FileServices                                                                                                                                |          2 |         26 |          0 |          8 |         34 |
| src\Lab3\Loggers\LogLevels                                                                                                                                   |          1 |          8 |          0 |          1 |          9 |
| src\Lab3\Messages                                                                                                                                            |          4 |         94 |          0 |         34 |        128 |
| src\Lab3\Messenger                                                                                                                                           |          2 |         14 |          0 |          2 |         16 |
| src\Lab3\Modifiers                                                                                                                                           |          2 |         14 |          0 |          3 |         17 |
| src\Lab3\Priorities                                                                                                                                          |          1 |         33 |          0 |          5 |         38 |
| src\Lab3\Recipient                                                                                                                                           |          7 |        108 |          0 |         27 |        135 |
| src\Lab3\Topics                                                                                                                                              |          4 |         99 |          0 |         25 |        124 |
| src\Lab3\Users                                                                                                                                               |          2 |         30 |          0 |         10 |         40 |
| src\Lab4                                                                                                                                                     |         86 |      1,910 |          0 |        484 |      2,394 |
| src\Lab4 (Files)                                                                                                                                             |          3 |         53 |          0 |         17 |         70 |
| src\Lab4\CommandCallers                                                                                                                                      |         50 |        981 |          0 |        243 |      1,224 |
| src\Lab4\CommandCallers (Files)                                                                                                                              |          3 |         88 |          0 |         22 |        110 |
| src\Lab4\CommandCallers\ConnectCommandHandlers                                                                                                               |          6 |        120 |          0 |         29 |        149 |
| src\Lab4\CommandCallers\ConnectCommandHandlers (Files)                                                                                                       |          1 |         28 |          0 |          6 |         34 |
| src\Lab4\CommandCallers\ConnectCommandHandlers\ConnectChain                                                                                                  |          5 |         92 |          0 |         23 |        115 |
| src\Lab4\CommandCallers\DisconnectCommandHandlers                                                                                                            |          1 |         15 |          0 |          4 |         19 |
| src\Lab4\CommandCallers\FileCommandsHandlers                                                                                                                 |         28 |        535 |          0 |        132 |        667 |
| src\Lab4\CommandCallers\FileCommandsHandlers (Files)                                                                                                         |          1 |         27 |          0 |          6 |         33 |
| src\Lab4\CommandCallers\FileCommandsHandlers\FileChains                                                                                                      |         27 |        508 |          0 |        126 |        634 |
| src\Lab4\CommandCallers\FileCommandsHandlers\FileChains (Files)                                                                                              |          2 |         26 |          0 |          8 |         34 |
| src\Lab4\CommandCallers\FileCommandsHandlers\FileChains\FileCopyCommandHandlers                                                                              |          5 |         97 |          0 |         24 |        121 |
| src\Lab4\CommandCallers\FileCommandsHandlers\FileChains\FileCopyCommandHandlers (Files)                                                                      |          1 |         28 |          0 |          6 |         34 |
| src\Lab4\CommandCallers\FileCommandsHandlers\FileChains\FileCopyCommandHandlers\CopyChain                                                                    |          4 |         69 |          0 |         18 |         87 |
| src\Lab4\CommandCallers\FileCommandsHandlers\FileChains\FileDeleteCommandHandlers                                                                            |          4 |         74 |          0 |         19 |         93 |
| src\Lab4\CommandCallers\FileCommandsHandlers\FileChains\FileDeleteCommandHandlers (Files)                                                                    |          1 |         28 |          0 |          6 |         34 |
| src\Lab4\CommandCallers\FileCommandsHandlers\FileChains\FileDeleteCommandHandlers\DeleteChain                                                                |          3 |         46 |          0 |         13 |         59 |
| src\Lab4\CommandCallers\FileCommandsHandlers\FileChains\FileMoveCommandHandlers                                                                              |          5 |         97 |          0 |         24 |        121 |
| src\Lab4\CommandCallers\FileCommandsHandlers\FileChains\FileMoveCommandHandlers (Files)                                                                      |          1 |         28 |          0 |          6 |         34 |
| src\Lab4\CommandCallers\FileCommandsHandlers\FileChains\FileMoveCommandHandlers\MoveChain                                                                    |          4 |         69 |          0 |         18 |         87 |
| src\Lab4\CommandCallers\FileCommandsHandlers\FileChains\FileRenameCommandHandlers                                                                            |          5 |         94 |          0 |         23 |        117 |
| src\Lab4\CommandCallers\FileCommandsHandlers\FileChains\FileRenameCommandHandlers (Files)                                                                    |          1 |         28 |          0 |          6 |         34 |
| src\Lab4\CommandCallers\FileCommandsHandlers\FileChains\FileRenameCommandHandlers\RenameChain                                                                |          4 |         66 |          0 |         17 |         83 |
| src\Lab4\CommandCallers\FileCommandsHandlers\FileChains\FileShowCommandHandlers                                                                              |          6 |        120 |          0 |         28 |        148 |
| src\Lab4\CommandCallers\FileCommandsHandlers\FileChains\FileShowCommandHandlers (Files)                                                                      |          1 |         28 |          0 |          6 |         34 |
| src\Lab4\CommandCallers\FileCommandsHandlers\FileChains\FileShowCommandHandlers\ShowChain                                                                    |          5 |         92 |          0 |         22 |        114 |
| src\Lab4\CommandCallers\TreeCommandsHandlers                                                                                                                 |         12 |        223 |          0 |         56 |        279 |
| src\Lab4\CommandCallers\TreeCommandsHandlers (Files)                                                                                                         |          1 |         27 |          0 |          6 |         33 |
| src\Lab4\CommandCallers\TreeCommandsHandlers\TreeChain                                                                                                       |         11 |        196 |          0 |         50 |        246 |
| src\Lab4\CommandCallers\TreeCommandsHandlers\TreeChain (Files)                                                                                               |          2 |         26 |          0 |          8 |         34 |
| src\Lab4\CommandCallers\TreeCommandsHandlers\TreeChain\TreeGoToCommandHandlers                                                                               |          4 |         74 |          0 |         19 |         93 |
| src\Lab4\CommandCallers\TreeCommandsHandlers\TreeChain\TreeGoToCommandHandlers (Files)                                                                       |          1 |         28 |          0 |          6 |         34 |
| src\Lab4\CommandCallers\TreeCommandsHandlers\TreeChain\TreeGoToCommandHandlers\GoToChain                                                                     |          3 |         46 |          0 |         13 |         59 |
| src\Lab4\CommandCallers\TreeCommandsHandlers\TreeChain\TreeListCommandHandler                                                                                |          5 |         96 |          0 |         23 |        119 |
| src\Lab4\CommandCallers\TreeCommandsHandlers\TreeChain\TreeListCommandHandler (Files)                                                                        |          1 |         28 |          0 |          6 |         34 |
| src\Lab4\CommandCallers\TreeCommandsHandlers\TreeChain\TreeListCommandHandler\ListChain                                                                      |          4 |         68 |          0 |         17 |         85 |
| src\Lab4\Commands                                                                                                                                            |         11 |        450 |          0 |        109 |        559 |
| src\Lab4\Commands (Files)                                                                                                                                    |          2 |         25 |          0 |          5 |         30 |
| src\Lab4\Commands\SpecificCommands                                                                                                                           |          9 |        425 |          0 |        104 |        529 |
| src\Lab4\FileSystemModes                                                                                                                                     |          1 |          5 |          0 |          1 |          6 |
| src\Lab4\FileSystems                                                                                                                                         |          2 |        108 |          0 |         36 |        144 |
| src\Lab4\Loggers                                                                                                                                             |          5 |        122 |          0 |         34 |        156 |
| src\Lab4\Loggers (Files)                                                                                                                                     |          2 |         65 |          0 |         18 |         83 |
| src\Lab4\Loggers\FileServices                                                                                                                                |          2 |         30 |          0 |          9 |         39 |
| src\Lab4\Loggers\LogLevels                                                                                                                                   |          1 |         27 |          0 |          7 |         34 |
| src\Lab4\Parsers                                                                                                                                             |          2 |         66 |          0 |         16 |         82 |
| src\Lab4\Readers                                                                                                                                             |          2 |         13 |          0 |          2 |         15 |
| src\Lab4\ShowModes                                                                                                                                           |          1 |          5 |          0 |          1 |          6 |
| src\Lab4\SystemPaths                                                                                                                                         |          6 |         66 |          0 |         14 |         80 |
| src\Lab4\SystemPaths (Files)                                                                                                                                 |          2 |         34 |          0 |         10 |         44 |
| src\Lab4\SystemPaths\PathValidation                                                                                                                          |          4 |         32 |          0 |          4 |         36 |
| src\Lab4\TreeSignSettings                                                                                                                                    |          1 |         24 |          0 |          8 |         32 |
| src\Lab4\Writers                                                                                                                                             |          2 |         17 |          0 |          3 |         20 |
| tests                                                                                                                                                        |         10 |        689 |          0 |        159 |        848 |
| tests\Lab1.Tests                                                                                                                                             |          2 |        144 |          0 |         39 |        183 |
| tests\Lab2.Tests                                                                                                                                             |          2 |        103 |          0 |         30 |        133 |
| tests\Lab3.Tests                                                                                                                                             |          2 |        158 |          0 |         37 |        195 |
| tests\Lab4.Tests                                                                                                                                             |          2 |        148 |          0 |         31 |        179 |
| tests\Lab5.Tests                                                                                                                                             |          2 |        136 |          0 |         22 |        158 |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                                                                                     | language | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| c:\Users\darli\RiderProjects\kir1l9x\.github\workflows\dotnet.yaml                                                                                           | YAML     |         21 |          0 |          7 |         28 |
| c:\Users\darli\RiderProjects\kir1l9x\.github\workflows\forbid-config-changes.yaml                                                                            | YAML     |         35 |          0 |          5 |         40 |
| c:\Users\darli\RiderProjects\kir1l9x\CRM\CRM.csproj                                                                                                          | XML      |         20 |          0 |          5 |         25 |
| c:\Users\darli\RiderProjects\kir1l9x\CRM\Program.cs                                                                                                          | C#       |         25 |          0 |          5 |         30 |
| c:\Users\darli\RiderProjects\kir1l9x\ConsoleUI\ConsoleUI.csproj                                                                                              | XML      |         15 |          0 |          5 |         20 |
| c:\Users\darli\RiderProjects\kir1l9x\ConsoleUI\Extensions\ScenariosCollectionExtensions.cs                                                                   | C#       |         52 |          0 |          4 |         56 |
| c:\Users\darli\RiderProjects\kir1l9x\ConsoleUI\IScenario.cs                                                                                                  | C#       |          6 |          0 |          2 |          8 |
| c:\Users\darli\RiderProjects\kir1l9x\ConsoleUI\IScenarioProvider.cs                                                                                          | C#       |          6 |          0 |          2 |          8 |
| c:\Users\darli\RiderProjects\kir1l9x\ConsoleUI\ScenarioRunner.cs                                                                                             | C#       |         30 |          0 |          6 |         36 |
| c:\Users\darli\RiderProjects\kir1l9x\ConsoleUI\Scenarios\Admin\Changing\ChangeOwnNameScenario.cs                                                             | C#       |         17 |          0 |          5 |         22 |
| c:\Users\darli\RiderProjects\kir1l9x\ConsoleUI\Scenarios\Admin\Changing\ChangeOwnNameScenarioProvider.cs                                                     | C#       |         25 |          0 |          5 |         30 |
| c:\Users\darli\RiderProjects\kir1l9x\ConsoleUI\Scenarios\Admin\Changing\ChangeOwnPasswordScenario.cs                                                         | C#       |         17 |          0 |          5 |         22 |
| c:\Users\darli\RiderProjects\kir1l9x\ConsoleUI\Scenarios\Admin\Changing\ChangeOwnPasswordScenarioProvider.cs                                                 | C#       |         25 |          0 |          5 |         30 |
| c:\Users\darli\RiderProjects\kir1l9x\ConsoleUI\Scenarios\Admin\Changing\ChangeUserNameScenario.cs                                                            | C#       |         28 |          0 |          5 |         33 |
| c:\Users\darli\RiderProjects\kir1l9x\ConsoleUI\Scenarios\Admin\Changing\ChangeUserNameScenarioProvider.cs                                                    | C#       |         25 |          0 |          5 |         30 |
| c:\Users\darli\RiderProjects\kir1l9x\ConsoleUI\Scenarios\Admin\Changing\ChangeUserPasswordScenario.cs                                                        | C#       |         28 |          0 |          5 |         33 |
| c:\Users\darli\RiderProjects\kir1l9x\ConsoleUI\Scenarios\Admin\Changing\ChangeUserPasswordScenarioProvider.cs                                                | C#       |         25 |          0 |          5 |         30 |
| c:\Users\darli\RiderProjects\kir1l9x\ConsoleUI\Scenarios\Admin\Changing\ChangeUserRoleScenario.cs                                                            | C#       |         41 |          0 |          6 |         47 |
| c:\Users\darli\RiderProjects\kir1l9x\ConsoleUI\Scenarios\Admin\Changing\ChangeUserRoleScenarioProvider.cs                                                    | C#       |         25 |          0 |          5 |         30 |
| c:\Users\darli\RiderProjects\kir1l9x\ConsoleUI\Scenarios\Admin\Creation\CreateNewAccountScenario.cs                                                          | C#       |         27 |          0 |          6 |         33 |
| c:\Users\darli\RiderProjects\kir1l9x\ConsoleUI\Scenarios\Admin\Creation\CreateNewAccountScenarioProvider.cs                                                  | C#       |         25 |          0 |          5 |         30 |
| c:\Users\darli\RiderProjects\kir1l9x\ConsoleUI\Scenarios\Admin\Creation\CreateNewUserScenario.cs                                                             | C#       |         28 |          0 |          6 |         34 |
| c:\Users\darli\RiderProjects\kir1l9x\ConsoleUI\Scenarios\Admin\Creation\CreateNewUserScenarioProvider.cs                                                     | C#       |         25 |          0 |          5 |         30 |
| c:\Users\darli\RiderProjects\kir1l9x\ConsoleUI\Scenarios\Admin\Deleting\DeleteAccountScenario.cs                                                             | C#       |         27 |          0 |          5 |         32 |
| c:\Users\darli\RiderProjects\kir1l9x\ConsoleUI\Scenarios\Admin\Deleting\DeleteAccountScenarioProvider.cs                                                     | C#       |         25 |          0 |          5 |         30 |
| c:\Users\darli\RiderProjects\kir1l9x\ConsoleUI\Scenarios\Admin\Deleting\DeleteUserScenario.cs                                                                | C#       |         27 |          0 |          5 |         32 |
| c:\Users\darli\RiderProjects\kir1l9x\ConsoleUI\Scenarios\Admin\Deleting\DeleteUserScenarioProvider.cs                                                        | C#       |         25 |          0 |          5 |         30 |
| c:\Users\darli\RiderProjects\kir1l9x\ConsoleUI\Scenarios\Admin\LogOutScenario.cs                                                                             | C#       |         17 |          0 |          5 |         22 |
| c:\Users\darli\RiderProjects\kir1l9x\ConsoleUI\Scenarios\Admin\LogOutScenarioProvider.cs                                                                     | C#       |         25 |          0 |          5 |         30 |
| c:\Users\darli\RiderProjects\kir1l9x\ConsoleUI\Scenarios\Admin\Show\FindUserByIdScenario.cs                                                                  | C#       |         32 |          0 |          6 |         38 |
| c:\Users\darli\RiderProjects\kir1l9x\ConsoleUI\Scenarios\Admin\Show\FindUserByIdScenarioProvider.cs                                                          | C#       |         25 |          0 |          5 |         30 |
| c:\Users\darli\RiderProjects\kir1l9x\ConsoleUI\Scenarios\Admin\Show\FindUserByUsernameScenario.cs                                                            | C#       |         32 |          0 |          6 |         38 |
| c:\Users\darli\RiderProjects\kir1l9x\ConsoleUI\Scenarios\Admin\Show\FindUserByUsernameScenarioProvider.cs                                                    | C#       |         25 |          0 |          5 |         30 |
| c:\Users\darli\RiderProjects\kir1l9x\ConsoleUI\Scenarios\Admin\Show\GetUserAccountsInfoScenario.cs                                                           | C#       |         46 |          0 |         10 |         56 |
| c:\Users\darli\RiderProjects\kir1l9x\ConsoleUI\Scenarios\Admin\Show\GetUserAccountsInfoScenarioProvider.cs                                                   | C#       |         25 |          0 |          5 |         30 |
| c:\Users\darli\RiderProjects\kir1l9x\ConsoleUI\Scenarios\Admin\Show\ShowAccountTransactionsByDateScenario.cs                                                 | C#       |         49 |          0 |         10 |         59 |
| c:\Users\darli\RiderProjects\kir1l9x\ConsoleUI\Scenarios\Admin\Show\ShowAccountTransactionsByDateScenarioProvider.cs                                         | C#       |         27 |          0 |          5 |         32 |
| c:\Users\darli\RiderProjects\kir1l9x\ConsoleUI\Scenarios\Admin\Show\ShowAccountTransactionsScenario.cs                                                       | C#       |         47 |          0 |         10 |         57 |
| c:\Users\darli\RiderProjects\kir1l9x\ConsoleUI\Scenarios\Admin\Show\ShowAccountTransactionsScenarioProvider.cs                                               | C#       |         27 |          0 |          5 |         32 |
