"filename", "language", "XML", "YAML", "C#", "MS SQL", "comment", "blank", "total"
"c:\Users\darli\RiderProjects\kir1l9x\ConsoleUI\Scenarios\Admin\Show\ShowAccountTransactionsScenario.cs", "C#", 0, 0, 47, 0, 0, 10, 57
"c:\Users\darli\RiderProjects\kir1l9x\ConsoleUI\Scenarios\Admin\Show\ShowAccountTransactionsScenarioProvider.cs", "C#", 0, 0, 27, 0, 0, 5, 32
"c:\Users\darli\RiderProjects\kir1l9x\ConsoleUI\Scenarios\Admin\Show\ShowAllAccountsScenario.cs", "C#", 0, 0, 41, 0, 0, 7, 48
"c:\Users\darli\RiderProjects\kir1l9x\ConsoleUI\Scenarios\Admin\Show\ShowAllAccountsScenarioProvider.cs", "C#", 0, 0, 25, 0, 0, 5, 30
"c:\Users\darli\RiderProjects\kir1l9x\ConsoleUI\Scenarios\Admin\Show\ShowAllAuditLogsScenario.cs", "C#", 0, 0, 41, 0, 0, 9, 50
"c:\Users\darli\RiderProjects\kir1l9x\ConsoleUI\Scenarios\Admin\Show\ShowAllAuditLogsScenarioProvider.cs", "C#", 0, 0, 25, 0, 0, 5, 30
"c:\Users\darli\RiderProjects\kir1l9x\ConsoleUI\Scenarios\Admin\Show\ShowAllUsersScenario.cs", "C#", 0, 0, 41, 0, 0, 9, 50
"c:\Users\darli\RiderProjects\kir1l9x\ConsoleUI\Scenarios\Admin\Show\ShowAllUsersScenarioProvider.cs", "C#", 0, 0, 25, 0, 0, 5, 30
"c:\Users\darli\RiderProjects\kir1l9x\ConsoleUI\Scenarios\Admin\Show\ShowAuditLogsByDateScenario.cs", "C#", 0, 0, 43, 0, 0, 8, 51
"c:\Users\darli\RiderProjects\kir1l9x\ConsoleUI\Scenarios\Admin\Show\ShowAuditLogsByDateScenarioProvider.cs", "C#", 0, 0, 25, 0, 0, 5, 30
"c:\Users\darli\RiderProjects\kir1l9x\ConsoleUI\Scenarios\Admin\Show\ShowUserAuditLogsScenario.cs", "C#", 0, 0, 47, 0, 0, 11, 58
"c:\Users\darli\RiderProjects\kir1l9x\ConsoleUI\Scenarios\Admin\Show\ShowUserAuditLogsScenarioProvider.cs", "C#", 0, 0, 25, 0, 0, 5, 30
"c:\Users\darli\RiderProjects\kir1l9x\ConsoleUI\Scenarios\Client\Change\ChangeNameScenario.cs", "C#", 0, 0, 17, 0, 0, 5, 22
"c:\Users\darli\RiderProjects\kir1l9x\ConsoleUI\Scenarios\Client\Change\ChangeNameScenarioProvider.cs", "C#", 0, 0, 25, 0, 0, 5, 30
"c:\Users\darli\RiderProjects\kir1l9x\ConsoleUI\Scenarios\Client\Change\ChangePasswordScenario.cs", "C#", 0, 0, 17, 0, 0, 5, 22
"c:\Users\darli\RiderProjects\kir1l9x\ConsoleUI\Scenarios\Client\Change\ChangePasswordScenarioProvider.cs", "C#", 0, 0, 25, 0, 0, 5, 30
"c:\Users\darli\RiderProjects\kir1l9x\ConsoleUI\Scenarios\Client\Create\CreateAccountScenario.cs", "C#", 0, 0, 15, 0, 0, 5, 20
"c:\Users\darli\RiderProjects\kir1l9x\ConsoleUI\Scenarios\Client\Create\CreateAccountScenarioProvider.cs", "C#", 0, 0, 25, 0, 0, 5, 30
"c:\Users\darli\RiderProjects\kir1l9x\ConsoleUI\Scenarios\Client\Deleting\DeleteAccountScenario.cs", "C#", 0, 0, 44, 0, 0, 7, 51
"c:\Users\darli\RiderProjects\kir1l9x\ConsoleUI\Scenarios\Client\Deleting\DeleteAccountScenarioProvider.cs", "C#", 0, 0, 25, 0, 0, 5, 30
"c:\Users\darli\RiderProjects\kir1l9x\ConsoleUI\Scenarios\Client\LogOutScenario.cs", "C#", 0, 0, 17, 0, 0, 5, 22
"c:\Users\darli\RiderProjects\kir1l9x\ConsoleUI\Scenarios\Client\LogOutScenarioProvider.cs", "C#", 0, 0, 25, 0, 0, 5, 30
"c:\Users\darli\RiderProjects\kir1l9x\ConsoleUI\Scenarios\Client\Money\ReplenishScenario.cs", "C#", 0, 0, 28, 0, 0, 5, 33
"c:\Users\darli\RiderProjects\kir1l9x\ConsoleUI\Scenarios\Client\Money\ReplenishScenarioProvider.cs", "C#", 0, 0, 25, 0, 0, 5, 30
"c:\Users\darli\RiderProjects\kir1l9x\ConsoleUI\Scenarios\Client\Money\TransferScenario.cs", "C#", 0, 0, 38, 0, 0, 5, 43
"c:\Users\darli\RiderProjects\kir1l9x\ConsoleUI\Scenarios\Client\Money\TransferScenarioProvider.cs", "C#", 0, 0, 25, 0, 0, 5, 30
"c:\Users\darli\RiderProjects\kir1l9x\ConsoleUI\Scenarios\Client\Show\ShowAccountsScenario.cs", "C#", 0, 0, 39, 0, 0, 7, 46
"c:\Users\darli\RiderProjects\kir1l9x\ConsoleUI\Scenarios\Client\Show\ShowAccountsScenarioProvider.cs", "C#", 0, 0, 25, 0, 0, 5, 30
"c:\Users\darli\RiderProjects\kir1l9x\ConsoleUI\Scenarios\Client\Show\ShowBalanceScenario.cs", "C#", 0, 0, 30, 0, 0, 8, 38
"c:\Users\darli\RiderProjects\kir1l9x\ConsoleUI\Scenarios\Client\Show\ShowBalanceScenarioProvider.cs", "C#", 0, 0, 25, 0, 0, 5, 30
"c:\Users\darli\RiderProjects\kir1l9x\ConsoleUI\Scenarios\Client\Show\ShowTransactionsScenario.cs", "C#", 0, 0, 43, 0, 0, 8, 51
"c:\Users\darli\RiderProjects\kir1l9x\ConsoleUI\Scenarios\Client\Show\ShowTransactionsScenarioProvider.cs", "C#", 0, 0, 25, 0, 0, 5, 30
"c:\Users\darli\RiderProjects\kir1l9x\ConsoleUI\Scenarios\EntryScenario\AuthenticateScenario.cs", "C#", 0, 0, 35, 0, 0, 6, 41
"c:\Users\darli\RiderProjects\kir1l9x\ConsoleUI\Scenarios\EntryScenario\AuthenticateScenarioProvider.cs", "C#", 0, 0, 24, 0, 0, 5, 29
"c:\Users\darli\RiderProjects\kir1l9x\ConsoleUI\Scenarios\EntryScenario\LoginScenario.cs", "C#", 0, 0, 32, 0, 0, 6, 38
"c:\Users\darli\RiderProjects\kir1l9x\ConsoleUI\Scenarios\EntryScenario\LoginScenarioProvider.cs", "C#", 0, 0, 24, 0, 0, 5, 29
"c:\Users\darli\RiderProjects\kir1l9x\Contracts\Accounts\IAccountService.cs", "C#", 0, 0, 13, 0, 0, 7, 20
"c:\Users\darli\RiderProjects\kir1l9x\Contracts\AuditLogs\IAuditLogService.cs", "C#", 0, 0, 10, 0, 0, 6, 16
"c:\Users\darli\RiderProjects\kir1l9x\Contracts\Contracts.csproj", "XML", 11, 0, 0, 0, 0, 4, 15
"c:\Users\darli\RiderProjects\kir1l9x\Contracts\Controllers\IAdminController.cs", "C#", 0, 0, 27, 0, 0, 22, 49
"c:\Users\darli\RiderProjects\kir1l9x\Contracts\Controllers\IClientController.cs", "C#", 0, 0, 16, 0, 0, 12, 28
"c:\Users\darli\RiderProjects\kir1l9x\Contracts\Controllers\INonAuthorizedController.cs", "C#", 0, 0, 8, 0, 0, 4, 12
"c:\Users\darli\RiderProjects\kir1l9x\Contracts\Controllers\OperationResults\AuthenticationResult.cs", "C#", 0, 0, 21, 0, 0, 8, 29
"c:\Users\darli\RiderProjects\kir1l9x\Contracts\Controllers\OperationResults\ChangingUserResult.cs", "C#", 0, 0, 6, 0, 0, 2, 8
"c:\Users\darli\RiderProjects\kir1l9x\Contracts\Controllers\OperationResults\CheckBalanceResult.cs", "C#", 0, 0, 19, 0, 0, 6, 25
"c:\Users\darli\RiderProjects\kir1l9x\Contracts\Controllers\OperationResults\CreationAccountResult.cs", "C#", 0, 0, 7, 0, 0, 3, 10
"c:\Users\darli\RiderProjects\kir1l9x\Contracts\Controllers\OperationResults\CreationUserResult.cs", "C#", 0, 0, 7, 0, 0, 3, 10
"c:\Users\darli\RiderProjects\kir1l9x\Contracts\Controllers\OperationResults\DeleteAccountResult.cs", "C#", 0, 0, 9, 0, 0, 5, 14
